,iso_code,location,continent,total_deaths_per_million,aged_65_older,people_fully_vaccinated_per_hundred,stringency_index,latitude,longitude
122,MOZ,Mozambique,Africa,69.333,3.158,40.89,49.99194594594595,-18.25000000,35.00000000
123,MRT,Mauritania,Africa,215.603,3.138,30.88,42.064486081370454,20.00000000,-12.00000000
124,MWI,Malawi,Africa,134.843,2.979,14.83,45.781270358306195,-13.50000000,34.00000000
125,MYS,Malaysia,Asia,1084.623,6.293,81.95,58.80889227642276,2.50000000,112.50000000
126,NAM,Namibia,Africa,1612.552,3.552,20.42,41.01394822006473,-22.00000000,17.00000000
128,NER,Niger,Africa,12.434,2.553,11.8,23.95102062975027,16.00000000,8.00000000
129,NGA,Nigeria,Africa,14.784,2.751,19.72,50.93018927444795,10.00000000,8.00000000
130,NIC,Nicaragua,North America,35.764,5.445,84.33,11.084299568965516,13.00000000,-85.00000000
131,NLD,Netherlands,Europe,1303.188,18.779,68.32,48.575216931216936,52.50000000,5.75000000
132,NOR,Norway,Europe,768.644,16.821,75.02,39.80659978880676,62.00000000,10.00000000
133,NPL,Nepal,Asia,400.133,5.809,75.47,53.042791878172594,28.00000000,84.00000000
134,NZL,New Zealand,Oceania,400.606,15.322,80.57,38.600369978858346,-41.00000000,174.00000000
135,OMN,Oman,Asia,1023.787,2.355,67.43,53.53823036649215,21.00000000,57.00000000
136,PAK,Pakistan,Asia,132.319,4.495,56.98,56.00885624344176,30.00000000,70.00000000
137,PAN,Panama,North America,1954.603,7.918,72.51,57.70491891891892,9.00000000,-80.00000000
138,PER,Peru,South America,6431.914,7.151,83.83,67.57675935828877,-10.00000000,-76.00000000
139,PHL,Philippines,Asia,557.401,4.803,64.21,62.39857142857143,13.00000000,122.00000000
140,PNG,Papua New Guinea,Oceania,67.139,3.808,2.95,50.61693548387097,-6.00000000,147.00000000
141,POL,Poland,Europe,3077.708,16.763,58.91,45.58716756756756,52.00000000,20.00000000
144,PRT,Portugal,Europe,2441.667,21.502,86.71,49.59421496311907,39.50000000,-8.00000000
145,PRY,Paraguay,South America,2923.119,6.378,52.45,49.42741251325557,-23.00000000,-58.00000000
146,PSE,Palestine,Asia,1111.741,3.043,34.56,59.52254002134472,31.90000000,35.20000000
147,QAT,Qatar,Asia,253.698,1.307,105.1,57.08587672688629,25.50000000,51.25000000
148,ROU,Romania,Europe,3472.53,17.85,41.98,46.970858050847454,46.00000000,25.00000000
149,RUS,Russia,Europe,2625.381,14.178,53.29,45.12593462717059,60.00000000,100.00000000
150,RWA,Rwanda,Africa,108.974,2.974,66.51,59.80257608695653,-2.00000000,30.00000000
151,SAU,Saudi Arabia,Asia,260.887,3.295,70.35,51.1945253164557,25.00000000,45.00000000
152,SDN,Sudan,Africa,108.701,3.548,9.94,33.823126361655774,15.00000000,30.00000000
153,SEN,Senegal,Africa,116.61,3.008,6.82,34.228738170347,14.00000000,-14.00000000
154,SLB,Solomon Islands,Oceania,216.147,3.507,29.38,40.91294692737431,-8.00000000,159.00000000
155,SLE,Sierra Leone,Africa,14.963,2.538,29.3,45.88895538628944,8.50000000,-11.50000000
156,SLV,El Salvador,North America,669.922,8.273,68.8,47.05512352309345,13.83333333,-88.91666666
157,SOM,Somalia,Africa,79.751,2.731,29.31,33.11869752421959,10.00000000,49.00000000
158,SRB,Serbia,Europe,2492.597,17.366,47.71,42.647909967845656,44.00000000,21.00000000
159,SSD,South Sudan,Africa,12.839,3.441,19.33,45.25880743982495,7.00000000,30.00000000
160,SUR,Suriname,South America,2259.439,6.933,38.81,61.774625267665954,4.00000000,-56.00000000
161,SVK,Slovakia,Europe,3764.395,15.07,47.32,44.51006465517241,48.66666666,19.50000000
162,SVN,Slovenia,Europe,3231.56,19.062,57.67,44.99268498942918,46.11666666,14.81666666
163,SWE,Sweden,Europe,1952.595,19.985,72.94,40.07807692307692,62.00000000,15.00000000
164,SWZ,Eswatini,Africa,1192.682,3.163,41.15,55.57441113490364,-26.50000000,31.50000000
166,TCD,Chad,Africa,11.234,2.486,21.84,40.51455913978495,15.00000000,19.00000000
167,TGO,Togo,Africa,33.199,2.839,16.66,47.23813953488372,8.00000000,1.16666666
168,THA,Thailand,Asia,459.811,11.373,74.7,47.765313765182185,15.00000000,100.00000000
169,TJK,Tajikistan,Asia,12.82,3.466,52.52,30.8014382785957,39.00000000,71.00000000
171,TLS,Timor,Asia,104.471,3.556,57.06,42.65203723986856,-8.83333333,125.91666666
172,TTO,Trinidad and Tobago,North America,2775.842,10.014,46.99,60.13210640608035,11.00000000,-61.00000000
173,TUN,Tunisia,Africa,2385.561,8.001,52.06,53.677071881606764,34.00000000,9.00000000
174,TUR,Turkey,Asia,1193.778,8.153,62.72,46.90414270500532,39.00000000,35.00000000
175,TZA,Tanzania,Africa,13.289,3.108,34.16,16.90767665952891,-6.00000000,35.00000000
176,UGA,Uganda,Africa,79.165,2.168,27.84,56.23382955771306,1.00000000,32.00000000
177,UKR,Ukraine,Europe,2689.161,16.462,34.81,60.564733333333336,49.00000000,32.00000000
178,URY,Uruguay,South America,2189.268,14.655,84.46,43.707305585980286,-33.00000000,-56.00000000
179,USA,United States,North America,3160.58,15.413,68.13,51.00568825910931,38.00000000,-97.00000000
180,UZB,Uzbekistan,Asia,48.032,4.469,48.4,44.316134903640254,41.00000000,64.00000000
181,VEN,Venezuela,South America,206.384,6.614,50.66,62.90013903743315,8.00000000,-66.00000000
182,VNM,Vietnam,Asia,442.761,7.15,86.57,58.568237082066865,16.16666666,107.83333333
183,VUT,Vanuatu,Oceania,43.868,4.394,40.93,28.891037463976946,-16.00000000,167.00000000
184,YEM,Yemen,Asia,65.43,2.922,1.83,30.292463605823066,15.00000000,48.00000000
185,ZAF,South Africa,Africa,1721.538,5.344,32.72,48.37963991769548,-29.00000000,24.00000000
186,ZMB,Zambia,Africa,206.284,2.48,35.42,34.313336909871246,-15.00000000,30.00000000
187,ZWE,Zimbabwe,Africa,350.454,2.822,29.71,63.048791801510255,-20.00000000,30.00000000
